country,country,sum_guinea,sum_liberia,sum_sierra_leone,movement_from_guinea,movement_from_liberia,movement_from_sierra_leone,from_guinea,from_liberia,from_sierra_leone
Aruba,ABW,1,2,1,4914252.411,1715956.378,2567697.207,4,4,4
Afghanistan,AFG,1,1,1,980435755.4,363829010,490893924,4,4,4
Angola,AGO,89,1,1,2242088234,958671925.3,1167648173,4,4,4
Albania,ALB,1,1,1,240867932.3,82799432.52,115560782.5,4,4,4
United Arab Emirates,ARE,24,35,5,381131794.2,142004643.1,190133849.3,4,4,4
Argentina,ARG,2,1,1,1824675064,661424293.1,966416472.4,4,4,4
Armenia,ARM,1,1,1,131274802.4,47668731.4,64768505.85,4,4,4
Antigua and Barbuda,ATG,1,1,1,5394138.171,1858142.257,2817935.348,4,4,4
Australia,AUS,2672,492,40,332148890.8,120077519.5,166692270.8,4,4,4
Austria,AUT,197,83,5,617410662.4,207459331.5,295760856.4,4,4,4
Azerbaijan,AZE,1,1,1,400945641.6,146040090.5,198231843.7,4,4,4
Burundi,BDI,3,1,1,824820009.6,330583048.5,417688075,4,4,4
Belgium,BEL,1136,60,3,852712405.2,278713521.2,407352848.3,4,4,4
Benin,BEN,82,37,1,4814059403,2029178513,2239504602,3,3,4
Burkina Faso,BFA,22,354,10,13403335114,4768943841,5622359615,2,2,3
Bangladesh,BGD,1,453,1,3381346279,1263726394,1708681012,4,4,4
Bulgaria,BGR,14,6,2,459473665.5,160167206.8,222134873.8,4,4,4
Bahrain,BHR,4,6,2,58376547.15,21673054.16,29033937.74,4,4,4
Bahamas,BHS,1,1,1,15482292.72,5412263.557,8056303.694,4,4,4
Bosnia & Herzegovina,BIH,1,1,1,281025316,95635982.36,134720289,4,4,4
Belarus,BLR,4,1,1,460734946.5,160423367.5,224367118.9,4,4,4
Belize,BLZ,1,2,1,10880194.05,3845629.55,5659949.516,4,4,4
Bolivia,BOL,6,8,2,550538554.2,196924090.8,291245977.5,4,4,4
Brazil,BRA,62,27,2,14266341281,5121539878,7640301624,4,4,4
Barbados,BRB,1,2,1,18177114.05,6270165.353,9527789.228,4,4,4
Brunei,BRN,2,1,1,6539462.071,2428199.19,3309297.178,4,4,4
Bhutan,BTN,1,1,1,16328980.11,6102930.014,8251886.298,4,4,4
Botswana,BWA,2,6,2,136267495.1,56381251.8,71005430.92,4,4,4
Central African Republic,CAF,43,6,1,578906268.8,231188378.6,286878875.3,4,4,4
Canada,CAN,2575,480,39,993641474.2,355036409.8,518194177.1,4,4,4
Switzerland,CHE,509,151,10,674753294.5,222056193.1,321173281.8,4,4,4
Chile,CHL,3,8,2,698844536.1,251524346.2,368217757.7,4,4,4
China,CHN,9,14,2,24912276358,9344222561,12642926739,4,4,4
Ivory Coast,CIV,3780,98517,947,30637666041,21382529235,14766512865,1,1,2
Cameroon,CMR,6,1,1,4231998096,1766831622,2092986349,4,4,4
DR Congo,COD,1,1,1,6805073337,2788388849,3452936444,4,4,4
Congo,COG,215,13,5,660431967.7,282522361.7,335646956,4,4,4
Colombia,COL,10,16,2,2163675995,760953879.3,1131988182,4,4,4
Comoros,COM,1,1,1,37158076.91,14563965.32,18895996.22,4,4,4
Cape Verde,CPV,300,38,2,207043016,55559226.58,105912835.7,4,4,4
Costa Rica,CRI,1,2,1,171190860.6,60396289.16,89152870.76,4,4,4
Cuba,CUB,2,1,1,427743284.8,150002482.7,222657620.3,4,4,4
Cyprus,CYP,6,10,2,70680287.17,25403765.05,34488959.73,4,4,4
Czech Republic,CZE,84,19,3,718778417.8,242511341.1,345451112.7,4,4,4
Germany,DEU,1567,1242,31,5732476135,1907069577,2748808153,4,4,4
Djibouti,DJI,1,1,1,49299704.94,18719314.78,24591864.14,4,4,4
Dominica,DMA,1,1,1,4340080.336,1496951.903,2270148.295,4,4,4
Denmark,DNK,177,63,5,344636323.4,115008989.8,166147842.7,4,4,4
Dominican Republic,DOM,8,6,1,494481008.1,172087263.9,257779736,4,4,4
Algeria,DZA,12,16,3,8293451566,2586169381,3733376821,4,4,4
Ecuador,ECU,31,30,3,619881185.6,218867643.8,323792224.3,4,4,4
Egypt,EGY,50,22,1,6319661188,2301803683,3077423149,4,4,4
Eritrea,ERI,1,1,1,409162428.7,154433499.1,203011696.6,4,4,4
Spain,ESP,5164,968,44,6038989272,1861880546,2812342184,4,4,4
Estonia,EST,2,1,1,59929647.82,20727966.56,29203516.37,4,4,4
Ethiopia,ETH,1,1,1,5899568085,2258981058,2946455428,4,4,4
Finland,FIN,102,29,3,227134994.8,78638857.03,111044600.5,4,4,4
Fiji,FJI,1,1,1,10210192.92,3612310.166,5123010.01,4,4,4
France,FRA,11614,478,24,5863496240,1889642115,2779133188,4,4,4
Micronesia,FSM,1,1,1,5089709.772,1874879.673,2575874.955,4,4,4
Gabon,GAB,540,3,3,296455958.5,130767252,151337339.3,4,4,4
United Kingdom,GBR,10592,1596,41,4681071497,1511072291,2246261637,4,4,4
Georgia,GEO,1,1,1,190867356.3,69034002.3,94038371.17,4,4,4
Ghana,GHA,189,4577,5,18214622802,8927083382,8584241348,2,2,3
Guinea,GIN,1,164678,65022,0,11035195007,47057850481,0,1,1
Gambia,GMB,3030,618,1,3415611041,555811337.2,1482051842,2,3,3
Guinea-Bissau,GNB,1044,389,1,4257989294,634942171.5,1968777658,1,2,2
Equatorial Guinea,GNQ,20,5,1,155789262.9,68911121.26,78809553.45,4,4,4
Greece,GRC,64,26,2,818283234.7,284733736.2,393840058.1,4,4,4
Grenada,GRD,1,1,1,6332306.984,2193128.507,3318696.067,4,4,4
Guatemala,GTM,1,2,1,492945356.1,174400864.7,256379360.3,4,4,4
Guyana,GUY,1,1,1,51756279.01,18052167.71,27293316.66,4,4,4
Honduras,HND,1,1,1,274677136.1,96978310.95,142940751.8,4,4,4
Croatia,HRV,2,2,1,315037624.5,106673840.9,150890200.3,4,4,4
Haiti,HTI,1,1,1,466672868.5,162796378.9,243212375.5,4,4,4
Hungary,HUN,46,20,2,655357929.9,223890466.3,315505197.2,4,4,4
Indonesia,IDN,2,4,1,3814118813,1411009263,1927537943,4,4,4
India,IND,1,637,11,31940936127,11935840626,16096595405,4,4,4
Ireland,IRL,107,74,2,369894022.4,117929610.2,177555416.2,4,4,4
Iran,IRN,1,1,1,3050275612,1126449441,1517784406,4,4,4
Iraq,IRQ,1,1,1,1717678129,628704068.9,847858189,4,4,4
Iceland,ISL,14,5,1,18667656.81,6071021.837,9147612.623,4,4,4
Israel,ISR,88,89,5,480754081.9,174543348.1,235284521.6,4,4,4
Italy,ITA,2164,306,29,5281263408,1760116574,2509807025,4,4,4
Jamaica,JAM,1,2,1,111354254.9,39030081.41,58008800.11,4,4,4
Jordan,JOR,2,3,1,445499801.6,162203576.3,218498265,4,4,4
Japan,JPN,12,8,2,1627191089,616451295.8,835343426.9,4,4,4
Kazakhstan,KAZ,86,1,13,477669165.8,176126233.7,238894385.2,4,4,4
Kenya,KEN,1,1,1,2866095160,1118086579,1442700567,4,4,4
Kyrgyzstan,KGZ,1,1,1,149301588.5,55438599.4,74978551.07,4,4,4
Cambodia,KHM,1,1,1,269854352.1,100643188.7,136628380,4,4,4
Kiribati,KIR,1,1,1,10734977.7,3759603.134,5780684.83,4,4,4
Saint Kitts and Nevis,KNA,1,1,1,3169531.847,1093303.951,1655507.222,4,4,4
South Korea,KOR,8,19,2,690429664.7,260597366.6,352972507.9,4,4,4
Kuwait,KWT,2,1,1,161737763.8,59696919.66,80179057.25,4,4,4
Laos,LAO,1,1,1,122870662.5,45893930.68,62240190.73,4,4,4
Lebanon,LBN,1,1,1,290803056.1,105218765.2,142378770.9,4,4,4
Liberia,LBR,164678,1,19929,11035195007,0,8489002871,1,0,1
Libya,LBY,49,9,1,706144477.9,248710788.9,335737090.5,4,4,4
Saint Lucia,LCA,1,1,1,11195509.15,3865992.984,5862443.418,4,4,4
Sri Lanka,LKA,1,1,1,528666359.2,198102306,266832531.4,4,4,4
Lesotho,LSO,1,1,1,111340537.4,45282206.15,57954328.32,4,4,4
Lithuania,LTU,3,3,1,153514132.8,52938234.34,74590654.98,4,4,4
Luxembourg,LUX,18,6,1,41782972.72,13699875.56,19948010.68,4,4,4
Latvia,LVA,3,3,1,99374682.32,34336068.2,48359619.27,4,4,4
Morocco,MAR,1,1,1,7225066215,2083838784,3245629555,4,4,4
Moldova,MDA,2,2,1,190825149,66774958.58,92734643.61,4,4,4
Madagascar,MDG,13,3,1,1027864203,402509411.7,524561166.6,4,4,4
Maldives,MDV,1,2,1,9931850.291,3736509.918,5010911.4,4,4,4
Mexico,MEX,25,93,5,3082791679,1098984618,1602535470,4,4,4
Marshall Islands,MHL,1,1,1,151166413.9,52216874.86,72709476.48,4,4,4
Macedonia,MKD,1,1,1,481405.3679,174304.0468,244174.578,4,4,4
Mali,MLI,11,1543,155,10867066637,2956663203,4291009683,1,4,2
Malta,MLT,5,4,1,43229356.76,14615978.9,20457389.51,4,4,4
Myanmar,MMR,1,1,1,1045497198,390723579.9,529002200,4,4,4
Montenegro,MNE,1,1,1,45857757.59,15696842.05,22001027.37,4,4,4
Mongolia,MNG,1,1,1,53415387.83,20073217.93,27123666.65,4,4,4
Mozambique,MOZ,1,1,1,1493931768,598168293,766176833.9,4,4,4
Mauritania,MRT,2021,14,2,2910609129,633650002.2,1138548086,2,3,3
Martinique,MTQ,1,1,1,24495459.5,8452054.416,12820365.6,4,4,4
Mauritius,MUS,3,1,1,42946563.71,16543232.5,21834365.09,4,4,4
Malawi,MWI,1,1,1,1034832994,414720070.2,529251571.8,4,4,4
Malaysia,MYS,1,1,1,497328703.7,184836061,251589157.1,4,4,4
Namibia,NAM,1,1,3,183606119.8,77617555.5,96634039.76,4,4,4
Niger,NER,21,7,11,4150536963,1495799108,1924932854,2,3,3
