"","x"
"France Gravity",0.262529832935561
"France Original Radiation",0.262529832935561
"France Radiation With Selection",0.262529832935561
"France Uniform Selection",0.230929019711836
"Portugal Gravity",0.262529832935561
"Portugal Original Radiation",0.262529832935561
"Portugal Radiation With Selection",0.262529832935561
"Portugal Uniform Selection",0.230929019711836
"Spain Gravity",0.262529832935561
"Spain Original Radiation",0.262529832935561
"Spain Radiation With Selection",0.262529832935561
"Spain Uniform Selection",0.230929019711836
